MinGW-w64,5,0,5
ocamlbuild,2,0,3
Groff,1,0,4
GCC,0,2,5
slang,3,0,1
C/Migemo,3,0,1
subversion,1,0,2
Vim,1,0,2
Notion,2,0,1
Heimdal,2,1,1
GPM,1,0,2
GHC,1,0,2
libplist,1,0,1
jhead,1,0,1
bitlbee-facebook,1,0,1
OpenIPMI,0,1,2
Ispell,0,1,2
GNU-EFI,1,0,1
Angsd,1,0,1
x264,1,0,0
strace,1,0,0
ski,1,0,0
liburing,1,0,0
exifprobe,1,0,0
efivar,0,0,1
blahtexml,1,0,0
avldrums.lv2,1,0,0
Src-Highlite,1,0,0
ldns,0,1,0
